location_id,date,version_name,location_name,inf_mean,inf_upper,inf_lower,seir_cumulative_mean,seir_cumulative_lower,seir_cumulative_upper,inf_cuml_mean,inf_cuml_lower,inf_cuml_upper,seir_daily_mean,seir_daily_lower,seir_daily_upper,seir_daily_unscaled_mean,seir_daily_unscaled_lower,seir_daily_unscaled_upper,seir_cumulative_unscaled_mean,seir_cumulative_unscaled_lower,seir_cumulative_unscaled_upper,reff_mean,reff_lower,reff_upper,cumulative_deaths,daily_deaths,cumulative_cases,cumulative_deaths_unscaled,cumulative_hospitalizations,daily_deaths_unscaled,daily_infections,population,mobility_mean,mobility_obs,testing_mean,testing_lower,testing_upper,testing_obs,pneumonia_mean,pneumonia_obs,mask_use_mean,mask_use_obs,cumulative_all_vaccinated,cumulative_all_fully_vaccinated,cumulative_all_effectively_vaccinated,hospital_beds_mean,hospital_beds_upper,hospital_beds_lower,icu_beds_mean,icu_beds_upper,icu_beds_lower,admis_mean,admis_upper,admis_lower,all_bed_capacity,icu_bed_capacity,infection_fatality,infection_detection,infection_hospitalization
1,2020-06-01,reference,Global,5135014.95,6201213.39,4028701.6,687657.79,538797.74,939569.98,256124498.9,213237967.26,307483453.04,11072.84,8207.18,15853.02,5632.25,5631.03,5633.71,447283.88,447243.9,447338.97,,,,693474.28,10412.56,6926352.29,447302.66,679440.41,4858.24,104852.97,7737464622.80812,-32.5561,1,2323450.1747,2323450.1747,2323450.1747,1,0.8695,0,0.6195,1,,,,741564.19,1003701.48,516876.16,146219.4,194185.63,103724.27,51889.53,68402.4,38180.48,17518594,536960,0.0032,0.0271,0.0115
1,2020-06-02,reference,Global,5155829.62,6234213.03,4042221.38,698890.13,547116.67,955629.49,261280328.52,217599958.58,313469569.39,11232.33,8280.65,16144.83,5619.74,5618.49,5621.25,452903.63,452862.59,452959.69,,,,704827.75,11353.47,7047516.52,453291.85,685104.63,5989.2,121164.23,7737464622.80812,-31.8592,1,2346104.3764,2346104.3764,2346104.3764,1,0.8673,0,0.6205,1,,,,749695.68,1012821.49,522570.45,148812.5,197224.03,105599.38,52527.93,69409.29,38736.4,17518594,536960,0.0032,0.0271,0.0114
1,2020-06-03,reference,Global,5173265.99,6264476.76,4054340.2,710273.12,555507.73,971928.38,266453594.52,221986036.9,319457112.2,11383,8347.64,16421.05,5604.87,5603.58,5606.42,458508.49,458466.39,458565.62,,,,716630.33,11802.58,7174069.44,459443.32,690025.53,6151.46,126552.92,7737464622.80812,-31.2254,1,2368821.6158,2368821.6158,2368821.6158,1,0.8662,0,0.6214,1,,,,758340.75,1022401.06,528740.44,151737.55,200788.94,107785.23,53140.45,70481.91,39282.5,17518594,536960,0.0032,0.0271,0.0114
1,2020-06-04,reference,Global,5187563.94,6283176.24,4065338.05,721799.8,563967.29,988448.94,271641158.46,226226887.98,325442339.14,11526.68,8411.03,16683.03,5590.71,5589.37,5592.3,464099.2,464056.01,464157.49,,,,728807.99,12177.66,7305519.84,465699.38,694720.1,6256.06,131450.4,7737464622.80812,-30.6558,1,2391627.6905,2391627.6905,2391627.6905,1,0.8652,0,0.6222,1,,,,766136.24,1030613.46,534534.2,153928.58,203327.39,109476.29,53729.95,71556.15,39820.84,17518594,536960,0.0032,0.027,0.0114
1,2020-06-05,reference,Global,5199002.06,6310281.63,4075511.71,733464.82,572494.02,1005177.85,276840160.52,230423299.54,331421935.52,11665.02,8473.22,16932.91,5578.97,5577.59,5580.61,469678.17,469633.92,469737.66,,,,740560.36,11752.38,7441766.65,471363.76,699473.49,5664.38,136246.81,7737464622.80812,-30.1507,1,2414546.0434,2414546.0434,2414546.0434,1,0.8632,0,0.6229,1,,,,774036.16,1038772.56,539880.62,155926.25,205491.8,110790.87,54297.63,72411.28,40351.73,17518594,536960,0.0031,0.027,0.0114
1,2020-06-06,reference,Global,5207891.65,6331224.95,4085150.28,745266.08,581089.64,1022109.03,282048052.17,234635572.87,337393067.93,11801.26,8537.23,17175.62,5570.62,5569.2,5572.31,475248.79,475203.61,475309.95,,,,752205.75,11645.38,7574730.78,476928.72,704175.28,5564.96,132964.13,7737464622.80812,-29.7105,1,2437599.7818,2437599.7818,2437599.7818,1,0.8612,0,0.6234,1,,,,779467.53,1043347.84,543277.31,157508.98,207145.79,111985,54846.83,73109.92,40877.49,17518594,536960,0.0031,0.0269,0.0114
1,2020-06-07,reference,Global,5214571.85,6346311.14,4094557.38,757205.57,589758.87,1039245.09,287262624.02,238862554.61,343353384.94,11939.49,8606.05,17417.71,5566.06,5564.6,5567.79,480814.84,480768.74,480877.74,,,,762594.06,10388.32,7693387.7,481467.91,708686.8,4539.19,118656.91,7737464622.80812,-29.3347,1,2460799.0193,2460799.0193,2460799.0193,1,0.8592,0,0.6236,1,,,,786819.86,1050346.02,548013.82,159935.12,209852.07,113902.14,55382.54,73785.97,41401.97,17518594,536960,0.0031,0.0268,0.0113
1,2020-06-08,reference,Global,5219397.42,6355923.93,4104028.42,769293.21,598511.06,1056602.7,292482021.44,243103359.99,349301006.62,12087.64,8684.35,17672.48,5566.53,5565.04,5568.29,486381.38,486334.35,486446.03,,,,773485.55,10891.48,7803562.61,486159.04,713597.28,4691.13,110174.91,7737464622.80812,-29.0168,1,2484153.4302,2484153.4302,2484153.4302,1,0.8572,0,0.6237,1,,,,794431.35,1057545.77,552949.99,162044.42,212176.76,115686.03,55908.42,74443.62,41948.75,17518594,536960,0.0031,0.0268,0.0113
1,2020-06-09,reference,Global,5222739.29,6360506.17,4113863.78,781546.39,607360.07,1074210.72,297704760.74,247357399.78,355234518.02,12253.18,8776.72,17952.08,5573.82,5572.31,5575.59,491955.2,491907.24,492021.61,,,,785879.8,12394.26,7932120.35,492124.55,718790.46,5965.51,128557.74,7737464622.80812,-28.7449,1,2507668.7621,2507668.7621,2507668.7621,1,0.8552,0,0.6237,1,,,,801622.1,1064062.97,558256.51,163501.79,214300.05,116821.01,56423.22,75082.15,42521.03,17518594,536960,0.003,0.0268,0.0114
1,2020-06-10,reference,Global,5224971.16,6360623.2,4124355.39,793990.82,616324.45,1092111.96,302929731.89,251624387.44,361152947.82,12444.43,8887.79,18270.76,5588.05,5586.52,5589.82,497543.25,497494.35,497611.2,,,,799567.4,13687.59,8074765.88,498435.92,724435.01,6311.37,142645.52,7737464622.80812,-28.5062,1,2531348.1233,2531348.1233,2531348.1233,1,0.8541,0,0.6236,1,,,,807983.71,1072386.51,563328.44,164962.43,216754.41,117877.7,56924.78,75699.81,43135.19,17518594,536960,0.003,0.0269,0.0114
